Date,Open,High,Low,Close,Adj Close,Volume
2018-12-27,2.480000,2.500000,2.290000,2.390000,2.390000,2456600
2018-12-28,2.390000,2.490000,2.250000,2.390000,2.390000,1682800
2018-12-31,2.400000,2.580000,2.360000,2.380000,2.380000,1676500
2019-01-02,2.300000,2.560000,2.290000,2.510000,2.510000,2097300
2019-01-03,2.520000,2.850000,2.510000,2.800000,2.800000,3284500
2019-01-04,2.850000,3.140000,2.840000,2.970000,2.970000,3950000
2019-01-07,3.020000,3.390000,3.010000,3.250000,3.250000,4498800
2019-01-08,3.350000,3.450000,3.180000,3.340000,3.340000,2817700
2019-01-09,3.330000,3.400000,3.210000,3.230000,3.230000,2456200
2019-01-10,3.210000,3.340000,3.070000,3.320000,3.320000,1892300
2019-01-11,3.300000,3.370000,3.230000,3.290000,3.290000,916900
2019-01-14,3.240000,3.280000,3.110000,3.170000,3.170000,973400
2019-01-15,3.170000,3.220000,3.100000,3.140000,3.140000,1300300
2019-01-16,3.140000,3.310000,3.130000,3.190000,3.190000,965400
2019-01-17,3.180000,3.830000,3.180000,3.730000,3.730000,6477300
2019-01-18,3.850000,3.880000,3.600000,3.670000,3.670000,2660400
2019-01-22,3.660000,3.660000,3.460000,3.560000,3.560000,1493500
2019-01-23,3.580000,3.640000,3.480000,3.540000,3.540000,1022800
2019-01-24,3.680000,3.680000,3.300000,3.490000,3.490000,3092600
2019-01-25,3.500000,3.570000,3.430000,3.500000,3.500000,1041400
2019-01-28,3.500000,3.500000,3.350000,3.470000,3.470000,477113
